time,y,z,x
1.61099E+18,-0.05411005,-0.236969948,-0.017892003
1.61099E+18,-0.063686848,-0.13880825,-0.058593452
1.61099E+18,-0.01580286,0.061107635,-0.043031156
1.61099E+18,0.052431941,0.268206596,0.027597785
1.61099E+18,0.096461296,0.494850159,0.052878857
1.61099E+18,0.116342068,0.643956184,-0.045182109
1.61099E+18,0.122327566,0.624802589,0.082907677
1.61099E+18,0.136708856,0.671975136,0.084944725
1.61099E+18,0.128313065,0.621247292,0.077734232
1.61099E+18,0.092209458,0.439421654,0.060849309
1.61099E+18,0.033912659,0.156121254,0.02373755
1.61099E+18,-0.016643763,-0.073543549,-0.011246204
1.61099E+18,-0.032170773,-0.140145302,-0.020424724
1.61099E+18,0.006298542,0.028294563,0.003845215
1.61099E+18,0.068280935,0.321630478,0.041892529
1.61099E+18,0.10219419,0.516971588,0.07068038
1.61099E+18,0.086269975,0.471223831,0.068296313
1.61099E+18,0.049923658,0.283863068,0.04174006
1.61099E+18,0.005859137,0.03290081,0.004730821
1.61099E+18,-0.03015554,-0.162387848,-0.022822618
1.61099E+18,-0.064911366,-0.331419945,-0.049028873
1.61099E+18,-0.089612246,-0.429508209,-0.065819263
1.61099E+18,-0.084998369,-0.390583992,-0.057794571
1.61099E+18,-0.072879791,-0.331542015,-0.049584985
1.61099E+18,-0.068550825,-0.313473701,-0.049882531
1.61099E+18,-0.078481436,-0.353960037,-0.059931874
1.61099E+18,-0.077950239,-0.341785431,-0.058336139
1.61099E+18,0.044865131,0.198058128,0.033239126
1.61099E+18,0.108614683,0.502019882,0.093745947
1.61099E+18,0.146827221,0.711501122,0.147921085
1.61099E+18,0.184006691,0.920526505,0.202723026
1.61099E+18,0.20262897,1.031721115,0.238606453
1.61099E+18,0.2208004,1.113322258,0.261114359
1.61099E+18,0.251562595,1.24228096,0.290395498
1.61099E+18,0.241791248,1.16037178,0.270528793
1.61099E+18,0.180667162,0.828131676,0.199887991
1.61099E+18,0.089969158,0.384302139,0.096736431
1.61099E+18,-0.012583733,-0.049150467,-0.012383461
1.61099E+18,-0.090271235,-0.325540543,-0.081121683
1.61099E+18,-0.133244276,-0.459533691,-0.113430023
1.61099E+18,-0.121341705,-0.414707184,-0.101356983
1.61099E+18,-0.035518885,-0.125620842,-0.029214144
1.61099E+18,0.067626715,0.254968643,0.057402372
1.61099E+18,0.121600151,0.496491432,0.112963438
1.61099E+18,0.11525774,0.494656563,0.116373777
1.61099E+18,0.085388422,0.371575356,0.087329149
1.61099E+18,0.031836987,0.133199692,0.030346155
1.61099E+18,-0.029311657,-0.113668442,-0.025831938
1.61099E+18,-0.14268899,-0.471323013,-0.114253998
1.61099E+18,-0.182207823,-0.567378998,-0.14452076
1.61099E+18,-0.217280149,-0.644145966,-0.169382334
1.61099E+18,-0.215921879,-0.619632721,-0.16083622
1.61099E+18,-0.180604219,-0.512379646,-0.128702879
1.61099E+18,-0.141361237,-0.406421661,-0.101844311
1.61099E+18,-0.114768028,-0.338720322,-0.086774588
1.61099E+18,-0.095114708,-0.292797089,-0.075508595
1.61099E+18,-0.072213411,-0.235675812,-0.059785604
1.61099E+18,-0.062076092,-0.212099075,-0.052942038
1.61099E+18,-0.059484482,-0.210399628,-0.052360296
1.61099E+18,-0.046931744,-0.167752266,-0.040704489
1.61099E+18,-0.056049824,-0.198634148,-0.04887867
1.61099E+18,-0.097712755,-0.337918282,-0.087841272
1.61099E+18,-0.156227589,-0.515634537,-0.139517307
1.61099E+18,-0.215918303,-0.672401428,-0.18474555
1.61099E+18,-0.238793135,-0.708126068,-0.189811707
1.61099E+18,-0.183894396,-0.54069519,-0.139678717
1.61099E+18,-0.119074583,-0.35709095,-0.092796087
1.61099E+18,-0.062245369,-0.191865921,-0.05057168
1.61099E+18,-0.029925346,-0.095986366,-0.02490592
1.61099E+18,0.025914431,0.086295128,0.021016121
1.61099E+18,0.020311832,0.068457603,0.016594648
1.61099E+18,-0.002584934,-0.008727074,-0.002098799
1.61099E+18,-0.045201063,-0.139455795,-0.035224438
1.61099E+18,-0.066764593,-0.193442345,-0.049509287
1.61099E+18,-0.078473091,-0.209233284,-0.055556297
1.61099E+18,-0.101588488,-0.253361702,-0.069646835
1.61099E+18,-0.142087936,-0.338413239,-0.09513998
1.61099E+18,-0.190321922,-0.434473991,-0.121752262
1.61099E+18,-0.200345278,-0.442422867,-0.119788408
1.61099E+18,-0.146444082,-0.322935104,-0.084016562
1.61099E+18,-0.069653988,-0.157218933,-0.03989172
1.61099E+18,0.019823313,0.046315193,0.011486053
1.61099E+18,0.106455326,0.259631157,0.062707901
1.61099E+18,0.137406349,0.340196609,0.080368757
1.61099E+18,0.111849308,0.278173447,0.063608646
1.61099E+18,0.036426306,0.088404655,0.020020485
1.61099E+18,-0.05981946,-0.139637947,-0.031581879
1.61099E+18,-0.127379656,-0.286247253,-0.063955426
1.61099E+18,-0.15049243,-0.329985619,-0.073025227
1.61099E+18,-0.060849905,-0.136602402,-0.028369427
1.61099E+18,0.036194801,0.086982727,0.016819835
1.61099E+18,0.135382652,0.357134819,0.06707418
1.61099E+18,0.229177713,0.662779808,0.120504379
1.61099E+18,0.285373688,0.901561737,0.162048459
1.61099E+18,0.301577806,1.025108337,0.181812763
1.61099E+18,0.30496645,1.114307404,0.178109288
1.61099E+18,0.347334385,1.297243118,0.154602885
1.61099E+18,0.298058033,1.057015419,0.106056094
1.61099E+18,0.125767946,0.435474396,0.049214721
1.61099E+18,-0.064120531,0.019662857,0.402279735
1.61099E+18,-0.288604498,0.258211136,0.780248046
1.61099E+18,-0.502908468,1.327363014,1.102224231
1.61099E+18,-0.73582375,2.780386925,1.337691784
1.61099E+18,-1.000023961,4.362671852,1.489613771
1.61099E+18,-1.342346072,5.968069077,1.561462522
1.61099E+18,-1.758069277,7.341547966,1.565264106
1.61099E+18,-2.229502439,7.990073204,1.48627162
1.61099E+18,-2.613558769,7.778483391,1.258891225
1.61099E+18,-2.801485062,6.767231941,0.84602952
1.61099E+18,-2.860881329,5.23063755,0.375193834
1.61099E+18,-2.531191826,2.340007782,-0.327705026
1.61099E+18,-2.21767354,1.433646202,-0.567852497
1.61099E+18,-1.914461851,0.855349541,-0.711551189
1.61099E+18,-1.641240358,0.559988976,-0.737151146
1.61099E+18,-1.432749271,0.44783783,-0.632501423
1.61099E+18,-1.255129099,0.505734444,-0.458411694
1.61099E+18,-1.122035146,0.647539139,-0.367197335
1.61099E+18,-1.018860102,0.806703568,-0.35288173
1.61099E+18,-0.978622675,0.829667091,-0.421546996
1.61099E+18,-1.051634431,0.750975609,-0.547697604
1.61099E+18,-1.172177076,0.648780823,-0.695289552
1.61099E+18,-1.32062459,0.562495232,-0.80965519
1.61099E+18,-1.456781864,0.455357552,-0.877342284
1.61099E+18,-1.56499362,0.342630386,-0.869530797
1.61099E+18,-1.612558365,0.306825638,-0.837577581
1.61099E+18,-1.610449553,0.359634399,-0.806234002
1.61099E+18,-1.565859318,0.447992325,-0.732872963
1.61099E+18,-1.533274293,0.452710152,-0.590478241
1.61099E+18,-1.486102819,0.47185421,-0.452350795
1.61099E+18,-1.376354098,0.496732712,-0.433659315
1.61099E+18,-1.30000639,0.458453178,-0.427016199
1.61099E+18,-1.210840583,0.057004929,-0.360550404
1.61099E+18,-1.209762692,-0.354745865,-0.399517298
1.61099E+18,-1.130581617,-0.856725693,-0.482256532
1.61099E+18,-1.111541271,-1.393965721,-0.571565092
1.61099E+18,-1.070198178,-1.809244633,-0.651174605
1.61099E+18,-1.019391298,-2.144353867,-0.687134147
1.61099E+18,-0.922232151,-2.321805477,-0.767990351
1.61099E+18,-0.832255721,-2.304420471,-0.882371068
1.61099E+18,-0.761421919,-2.259271622,-0.96830833
1.61099E+18,-0.722577572,-2.175531864,-0.9771626
1.61099E+18,-0.668117762,-2.16827631,-0.952557087
1.61099E+18,-0.598927975,-2.069255352,-0.986183167
1.61099E+18,-0.55386138,-1.991347313,-1.023992062
1.61099E+18,-0.577511311,-1.8871665,-1.030543923
1.61099E+18,-0.618072987,-1.778474331,-1.018028736
1.61099E+18,-0.614391088,-1.625814438,-0.969436407
1.61099E+18,-0.554953337,-1.456634521,-0.921398938
1.61099E+18,-0.447768211,-1.336717129,-0.873754859
1.61099E+18,-0.345971823,-1.225281715,-0.794943094
1.61099E+18,-0.247188807,-1.124597549,-0.748004615
1.61099E+18,-0.129671335,-1.005846977,-0.721854925
