time,y,z,x
1.61E+18,-0.048891127,0,-0.113928653
1.61E+18,-0.032131732,0,-0.143856168
1.61E+18,-0.008189708,0,-0.064847521
1.61E+18,0.007372588,0,-0.000204077
1.61E+18,0.000469923,0,7.20E-05
1.61E+18,-0.01079303,0,-0.001623154
1.61E+18,-0.016598761,0,-0.001878373
1.61E+18,-0.023043811,0,-0.001944985
1.61E+18,-0.015338659,0,-3.33E-05
1.61E+18,-0.005200565,0,0.000693277
1.61E+18,0.003706098,0,-0.000777073
1.61E+18,0.012028307,0,-0.006452724
1.61E+18,0.01385054,0,-0.008155018
1.61E+18,0.011640191,0,-0.002869025
1.61E+18,-0.000885308,0,2.22E-05
1.61E+18,-0.016697228,0,-0.00276015
1.61E+18,-0.017393529,0,-0.004380442
1.61E+18,-0.018483818,0,-0.000963695
1.61E+18,-0.00921607,0,0.00037245
1.61E+18,-0.003885567,0,-0.000184124
1.61E+18,-0.001108527,0,0.000197865
1.61E+18,0.002552569,0,-0.000268023
1.61E+18,0.00617522,0,0.000672564
1.61E+18,0.007475019,0,0.002485022
1.61E+18,0.006276608,0,0.003080666
1.61E+18,0.000440001,0,0.000259936
1.61E+18,-0.000424206,0,-0.000314683
1.61E+18,-0.003747106,0,-0.003266573
1.61E+18,-0.00210464,0,-0.001968622
1.61E+18,0.006032884,0,0.006766558
1.61E+18,0.010901332,0,0.012246132
1.61E+18,0.012483835,0,0.014409959
1.61E+18,0.014462531,0,0.017250121
1.61E+18,0.020183504,0,0.022602797
1.61E+18,0.026337206,0,0.026372224
1.61E+18,0.023882687,0,0.019331247
1.61E+18,0.022306502,0,0.011634424
1.61E+18,0.024740815,0,0.008767396
1.61E+18,0.021429062,0,0.007939398
1.61E+18,0.009467244,0,0.003649235
1.61E+18,-0.003443122,0,-0.001205236
1.61E+18,-0.008736134,0,-0.003613353
1.61E+18,0.00238359,0,0.001189619
1.61E+18,0.021312237,0,0.008368969
1.61E+18,0.036163807,0,0.019659758
1.61E+18,0.035008848,0,0.009834021
1.61E+18,0.034390956,0,-0.016071916
1.61E+18,0.04066813,0,-0.004082903
1.61E+18,0.021252811,0,0.005733848
1.61E+18,-0.005447567,0,-0.00175038
1.61E+18,-0.03680259,0,-0.009979323
1.61E+18,-0.048898578,0,-0.011778817
1.61E+18,-0.041947722,0,-0.012960583
1.61E+18,-0.030670285,0,-0.009872094
1.61E+18,-0.021959484,0,-0.008392602
1.61E+18,-0.012089014,0,-0.006710917
1.61E+18,-0.012586296,0,-0.008480161
1.61E+18,-0.018688321,0,-0.014693975
1.61E+18,-0.025780618,0,-0.022574842
1.61E+18,-0.024072528,0,-0.020782292
1.61E+18,-0.022245049,0,-0.019086301
1.61E+18,-0.027491093,0,-0.0228917
1.61E+18,-0.03363359,0,-0.027890146
1.61E+18,-0.047641277,0,-0.032521904
1.61E+18,-0.035827458,0,-0.031483769
1.61E+18,-0.045094013,0,-0.026287913
1.61E+18,-0.027776361,0,-0.017640412
1.61E+18,-0.007457137,0,-0.004962206
1.61E+18,0.010302842,0,0.006235629
1.61E+18,0.017106593,0,0.008820236
1.61E+18,0.026270866,0,0.01858902
1.61E+18,0.056496143,0,0.033760846
1.61E+18,0.015475869,0,0.006349772
