time,qy,qx,yaw,qw,qz,roll,pitch
1.61199E+18,-0.004568086,0.028737007,-0.000807627,0.999576628,0.000271988,-0.009163196,-0.057478841
1.61199E+18,-0.005081703,0.033835601,-0.000872393,0.999414444,0.00026341,-0.010198807,-0.06768056
1.61199E+18,-0.00417748,0.03541594,-0.000879602,0.999363899,0.000290934,-0.008391399,-0.070843644
1.61199E+18,-0.002900879,0.034949481,-0.000644047,0.99938494,0.000219988,-0.005827837,-0.069911636
1.61199E+18,0.024987936,0.019575933,-1.816458702,0.614834309,0.788017213,-0.000125717,-0.063496418
1.61199E+18,0.022173764,0.013004823,-1.815769196,0.615142941,0.787996471,0.006793436,-0.050967414
1.61199E+18,0.021463577,0.009970983,-1.822282314,0.612576485,0.790056884,0.010552308,-0.04614725
1.61199E+18,0.019808766,0.003342859,-1.821784854,0.612784505,0.789994836,0.019008379,-0.035401944
1.61199E+18,0.017335903,0.002077227,-1.837990642,0.606420696,0.794952273,0.017732061,-0.030086316
1.61199E+18,0.021001896,0.009134596,-1.838451028,0.60618031,0.794997454,0.010948959,-0.044481996
1.61199E+18,0.020653484,0.014678861,-1.833383799,0.608235061,0.793352544,0.001835678,-0.050649036
1.61199E+18,0.019086564,0.020261273,-1.834354401,0.607925773,0.793505847,-0.008962098,-0.054952953
1.61199E+18,0.018988099,0.020502079,-1.822138786,0.612761259,0.789773941,-0.009127676,-0.055146322
1.61199E+18,0.019938717,0.017074829,-1.822121143,0.612723112,0.7898615,-0.002543175,-0.052445974
1.61199E+18,0.021364965,0.015762402,-1.81827271,0.614196479,0.788706541,0.001382701,-0.053088732
1.61199E+18,0.021701703,0.015284864,-1.818353772,0.614152312,0.788741052,0.002548286,-0.053033374
1.61199E+18,0.023018837,0.013751435,-1.821689606,0.612789869,0.789790928,0.006499156,-0.053238764
1.61199E+18,0.0235558,0.014348778,-1.821913481,0.612689734,0.789842129,0.006207621,-0.05482088
1.61199E+18,0.018852009,0.018110026,-1.81903553,0.613972306,0.788894594,-0.005431952,-0.052006043
1.61199E+18,0.015293846,0.023178615,-1.820231438,0.613603055,0.789126277,-0.017838627,-0.05260675
1.61199E+18,0.014660657,0.029980881,-1.821585774,0.613126099,0.789279819,-0.029405991,-0.059942733
1.61199E+18,0.012742696,0.035150494,-1.823068738,0.612604678,0.789504647,-0.039981008,-0.06322968
1.61199E+18,0.010812521,0.037918523,-1.813050628,0.616588414,0.786297619,-0.0464078,-0.063807249
1.61199E+18,0.008132309,0.041345164,-1.814460278,0.616075695,0.786559165,-0.055160668,-0.063779823
1.61199E+18,0.005304002,0.041059293,-1.810430646,0.617661178,0.785353899,-0.058073923,-0.059086878
1.61199E+18,0.002927622,0.040555447,-1.810910702,0.617464542,0.785547078,-0.060227484,-0.05470996
1.61199E+18,0.002382686,0.039551482,-1.814591527,0.616008818,0.786742032,-0.059414886,-0.052501358
1.61199E+18,0.001836402,0.036649674,-1.814530373,0.61601305,0.786880851,-0.055507921,-0.048061911
1.61199E+18,0.001259929,0.03502585,-1.818295121,0.614518464,0.788123608,-0.053741261,-0.045049258
1.61199E+18,0.002221209,0.033414632,-1.818145871,0.614572465,0.788149297,-0.05001178,-0.044587485
1.61199E+18,0.003621285,0.029613819,-1.817856073,0.614669383,0.788220525,-0.042282756,-0.042126615
1.61199E+18,0.006372247,0.027180746,-1.817678332,0.614722788,0.788249075,-0.035056368,-0.043476775
1.61199E+18,0.010929486,0.023981487,-1.820819378,0.613434851,0.789305508,-0.024477504,-0.046692532
